Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
Sheep,6,41.4,matted eyes,foul diarrhea,fatigue,PPR
Cow,5,42.3,swelling in neck,lacrimation,swelling in limb,East Coast Fever
Goat,1,41.8,matted eyes,loss of appetite,sores on gums,PPR
Poultry,2,44.0,fatigue,difficulty walking,sudden death,Newcastle Disease
Goat,8,40.5,matted eyes,loss of appetite,fatigue,PPR
Cow,6,41.9,jaundice,fatigue,swelling in abdomen,Rift Valley Fever
Goat,3,40.5,fatigue,sores on mouth,matted eyes,PPR
Poultry,6,43.0,fatigue,chills,depression,Newcastle Disease
Sheep,3,41.1,chills,fatigue,swelling in abdomen,Rift Valley Fever
Poultry,3,43.0,chills,greenish diarrhea,sudden death,Newcastle Disease
Goat,6,41.8,crackling sound,extended neck,painful cough,CCPP
Goat,8,41.9,extended neck,fatigue,shortness of breath,CCPP
Poultry,1,43.7,sudden death,chills,twisted neck,Newcastle Disease
Goat,8,42.2,chest discomfort,crackling sound,loss of appetite,CCPP
Cow,1,41.1,swelling in abdomen,sweats,jaundice,Rift Valley Fever
Sheep,2,41.9,mass abortion,chills,sweats,Rift Valley Fever
Poultry,4,43.9,fatigue,sudden death,depression,Newcastle Disease
Poultry,2,43.5,chills,difficulty walking,depression,Newcastle Disease
Goat,6,42.0,fatigue,chills,mass abortion,Rift Valley Fever
Poultry,4,43.6,sudden death,twisted neck,chills,Newcastle Disease
Sheep,7,42.2,sweats,jaundice,swelling in abdomen,Rift Valley Fever
Cow,1,42.7,fatigue,swelling in limb,lacrimation,East Coast Fever
Goat,8,40.3,fatigue,sores on tongue,matted eyes,PPR
Sheep,1,41.3,fatigue,sores on gums,loss of appetite,PPR
Cow,1,42.3,swelling in neck,swelling in limb,lacrimation,East Coast Fever
Goat,3,40.4,sores on tongue,loss of appetite,matted eyes,PPR
Poultry,1,45.0,twisted neck,sudden death,difficulty walking,Newcastle Disease
Goat,7,41.7,painful cough,extended neck,crackling sound,CCPP
Poultry,8,42.7,sudden death,fatigue,depression,Newcastle Disease
Goat,3,42.1,shortness of breath,extended neck,loss of appetite,CCPP
Poultry,2,43.4,greenish diarrhea,difficulty walking,twisted neck,Newcastle Disease
Goat,4,42.0,matted eyes,loss of appetite,fatigue,PPR
Cow,1,41.7,lacrimation,difficulty walking,frothing at mouth,East Coast Fever
Cow,4,41.2,fatigue,sweats,swelling in abdomen,Rift Valley Fever
Poultry,2,44.0,twisted neck,depression,chills,Newcastle Disease
Poultry,5,43.3,chills,greenish diarrhea,sudden death,Newcastle Disease
Cow,4,41.9,difficulty walking,loss of appetite,swelling in neck,East Coast Fever
Goat,3,41.1,loss of appetite,extended neck,painful cough,CCPP
Goat,6,41.9,fatigue,crackling sound,painful cough,CCPP
Goat,6,42.2,sweats,mass abortion,jaundice,Rift Valley Fever
Sheep,4,41.5,blood in stool,jaundice,fatigue,Rift Valley Fever
Sheep,4,40.8,fatigue,matted eyes,loss of appetite,PPR
Poultry,6,42.6,greenish diarrhea,fatigue,difficulty walking,Newcastle Disease
Sheep,2,42.0,sweats,swelling in abdomen,mass abortion,Rift Valley Fever
Sheep,3,41.5,sores on tongue,fatigue,foul diarrhea,PPR
Cow,4,41.3,fatigue,loss of appetite,swelling in limb,East Coast Fever
Poultry,7,42.9,twisted neck,difficulty walking,depression,Newcastle Disease
Sheep,8,41.4,loss of appetite,fatigue,sores on mouth,PPR
Goat,1,40.4,fatigue,sores on tongue,sores on mouth,PPR
Cow,4,42.3,lacrimation,difficulty walking,swelling in limb,East Coast Fever
Cow,6,41.8,lacrimation,fatigue,swelling in limb,East Coast Fever
Goat,1,40.8,chills,fatigue,mass abortion,Rift Valley Fever
Cow,6,42.0,lacrimation,swelling in limb,difficulty walking,East Coast Fever
Poultry,4,43.2,twisted neck,fatigue,greenish diarrhea,Newcastle Disease
Poultry,6,44.4,fatigue,twisted neck,sudden death,Newcastle Disease
Cow,7,40.6,sweats,fatigue,chills,Rift Valley Fever
Goat,2,41.0,loss of appetite,chest discomfort,fatigue,CCPP
Poultry,7,42.3,fatigue,chills,greenish diarrhea,Newcastle Disease
Goat,7,41.6,fatigue,matted eyes,sores on tongue,PPR
Goat,8,41.0,loss of appetite,painful cough,crackling sound,CCPP
Sheep,4,40.8,blood in stool,mass abortion,jaundice,Rift Valley Fever
Goat,4,41.7,foul diarrhea,fatigue,sores on mouth,PPR
Goat,6,41.1,chest discomfort,fatigue,extended neck,CCPP
Cow,4,41.7,fatigue,lacrimation,loss of appetite,East Coast Fever
Goat,6,41.1,swelling in abdomen,blood in stool,chills,Rift Valley Fever
Goat,5,41.4,chest discomfort,crackling sound,shortness of breath,CCPP
Cow,6,42.7,difficulty walking,fatigue,swelling in limb,East Coast Fever
Goat,7,41.1,foul diarrhea,sores on mouth,matted eyes,PPR
Sheep,7,40.4,sores on tongue,sores on mouth,matted eyes,PPR
Cow,4,42.0,loss of appetite,difficulty walking,swelling in neck,East Coast Fever
Cow,5,41.6,swelling in neck,fatigue,lacrimation,East Coast Fever
Poultry,4,43.6,fatigue,depression,chills,Newcastle Disease
Cow,6,42.0,difficulty walking,lacrimation,frothing at mouth,East Coast Fever
Goat,7,40.6,foul diarrhea,sores on gums,matted eyes,PPR
Goat,2,41.8,fatigue,chest discomfort,crackling sound,CCPP
Goat,1,41.6,sweats,jaundice,mass abortion,Rift Valley Fever
Cow,1,42.0,fatigue,swelling in limb,frothing at mouth,East Coast Fever
Cow,6,41.4,swelling in limb,fatigue,loss of appetite,East Coast Fever
Poultry,6,44.1,depression,chills,sudden death,Newcastle Disease
Goat,3,41.8,sores on gums,foul diarrhea,matted eyes,PPR
Cow,3,41.4,swelling in neck,loss of appetite,swelling in limb,East Coast Fever
Poultry,2,43.3,difficulty walking,sudden death,chills,Newcastle Disease
Poultry,8,43.5,greenish diarrhea,fatigue,twisted neck,Newcastle Disease
Cow,3,41.9,sweats,mass abortion,jaundice,Rift Valley Fever
Poultry,5,43.5,depression,greenish diarrhea,difficulty walking,Newcastle Disease
Poultry,6,43.4,fatigue,difficulty walking,sudden death,Newcastle Disease
Sheep,6,41.9,fatigue,chills,swelling in abdomen,Rift Valley Fever
Sheep,2,41.2,sores on mouth,loss of appetite,sores on tongue,PPR
Cow,5,41.9,swelling in neck,lacrimation,loss of appetite,East Coast Fever
Goat,2,41.9,painful cough,shortness of breath,loss of appetite,CCPP
Cow,7,42.0,swelling in neck,frothing at mouth,lacrimation,East Coast Fever
Poultry,1,42.9,chills,depression,twisted neck,Newcastle Disease
Sheep,6,40.8,foul diarrhea,sores on gums,matted eyes,PPR
Poultry,5,44.5,difficulty walking,chills,sudden death,Newcastle Disease
Goat,2,41.5,painful cough,loss of appetite,chest discomfort,CCPP
Goat,2,41.2,sores on tongue,fatigue,matted eyes,PPR
Goat,8,41.2,swelling in abdomen,sweats,jaundice,Rift Valley Fever
Goat,1,42.1,loss of appetite,extended neck,crackling sound,CCPP
Sheep,5,41.3,swelling in abdomen,jaundice,sweats,Rift Valley Fever
Goat,5,41.6,chest discomfort,shortness of breath,fatigue,CCPP
Goat,4,41.4,fatigue,crackling sound,painful cough,CCPP
Cow,3,42.9,swelling in neck,difficulty walking,loss of appetite,East Coast Fever
Sheep,7,41.1,loss of appetite,fatigue,sores on mouth,PPR
Goat,4,40.6,matted eyes,sores on mouth,loss of appetite,PPR
Cow,8,41.6,lacrimation,difficulty walking,swelling in neck,East Coast Fever
Goat,2,41.3,loss of appetite,extended neck,painful cough,CCPP
Cow,4,43.2,loss of appetite,fatigue,frothing at mouth,East Coast Fever
Poultry,8,43.1,sudden death,greenish diarrhea,depression,Newcastle Disease
Cow,7,42.7,difficulty walking,loss of appetite,swelling in limb,East Coast Fever
Goat,3,40.8,fatigue,shortness of breath,extended neck,CCPP
Sheep,8,40.7,matted eyes,sores on tongue,fatigue,PPR
Sheep,2,41.8,mass abortion,sweats,chills,Rift Valley Fever
Cow,7,41.6,loss of appetite,lacrimation,swelling in limb,East Coast Fever
Goat,8,41.6,shortness of breath,extended neck,chest discomfort,CCPP
Goat,8,41.5,loss of appetite,chest discomfort,extended neck,CCPP
Cow,1,41.6,frothing at mouth,difficulty walking,lacrimation,East Coast Fever
Sheep,8,41.6,foul diarrhea,matted eyes,loss of appetite,PPR
Sheep,4,40.8,swelling in abdomen,mass abortion,fatigue,Rift Valley Fever
Cow,6,42.4,swelling in abdomen,jaundice,sweats,Rift Valley Fever
Poultry,2,42.9,depression,twisted neck,difficulty walking,Newcastle Disease
Poultry,1,43.9,twisted neck,depression,sudden death,Newcastle Disease
Goat,5,42.1,shortness of breath,crackling sound,extended neck,CCPP
Cow,4,42.1,lacrimation,swelling in limb,swelling in neck,East Coast Fever
Cow,7,42.4,frothing at mouth,loss of appetite,lacrimation,East Coast Fever
Poultry,7,43.3,greenish diarrhea,chills,twisted neck,Newcastle Disease
Poultry,3,43.8,depression,fatigue,twisted neck,Newcastle Disease
Goat,2,41.8,fatigue,foul diarrhea,matted eyes,PPR
Goat,2,41.7,fatigue,matted eyes,foul diarrhea,PPR
Goat,7,42.1,extended neck,painful cough,loss of appetite,CCPP
